=== generating arrays for eikonal tomography
--- Load all the stations from database
=== Getting field data for: 5C.HRLQ, 35 paths
=== Getting field data for: 7C.MM04, 101 paths
=== Getting field data for: AK.ANM, 339 paths
=== Getting field data for: AK.BAGL, 412 paths
=== Getting field data for: AK.BAL, 333 paths
=== Getting field data for: AK.BARK, 443 paths
=== Getting field data for: AK.BARN, 416 paths
=== Getting field data for: AK.BCP, 333 paths
=== Getting field data for: AK.BERG, 442 paths
=== Getting field data for: AK.BESE, 319 paths
=== Getting field data for: AK.BGLC, 429 paths
=== Getting field data for: AK.BMR, 334 paths
=== Getting field data for: AK.BPAW, 339 paths
=== Getting field data for: AK.BRLK, 332 paths
=== Getting field data for: AK.BRSE, 332 paths
=== Getting field data for: AK.BWN, 341 paths
=== Getting field data for: AK.CAPN, 322 paths
=== Getting field data for: AK.CAST, 321 paths
=== Getting field data for: AK.CCB, 331 paths
=== Getting field data for: AK.CHI, 302 paths
=== Getting field data for: AK.CHN, 285 paths
=== Getting field data for: AK.CHUM, 325 paths
=== Getting field data for: AK.CNP, 324 paths
=== Getting field data for: AK.COLD, 325 paths
=== Getting field data for: AK.CRQ, 329 paths
=== Getting field data for: AK.CTG, 324 paths
=== Getting field data for: AK.CUT, 330 paths
=== Getting field data for: AK.CYK, 322 paths
=== Getting field data for: AK.DCPH, 63 paths
=== Getting field data for: AK.DHY, 322 paths
=== Getting field data for: AK.DIV, 318 paths
=== Getting field data for: AK.DOT, 325 paths
=== Getting field data for: AK.EYAK, 304 paths
=== Getting field data for: AK.FALS, 275 paths
=== Getting field data for: AK.FID, 339 paths
=== Getting field data for: AK.FIRE, 280 paths
=== Getting field data for: AK.FYU, 275 paths
=== Getting field data for: AK.GAMB, 261 paths
=== Getting field data for: AK.GCSA, 258 paths
=== Getting field data for: AK.GHO, 261 paths
=== Getting field data for: AK.GLB, 259 paths
=== Getting field data for: AK.GLI, 261 paths
=== Getting field data for: AK.GOAT, 378 paths
=== Getting field data for: AK.GRIN, 429 paths
=== Getting field data for: AK.GRNC, 403 paths
=== Getting field data for: AK.HDA, 337 paths
=== Getting field data for: AK.HIN, 244 paths
=== Getting field data for: AK.HMT, 247 paths
=== Getting field data for: AK.HOM, 243 paths
=== Getting field data for: AK.ISLE, 415 paths
=== Getting field data for: AK.JIS, 201 paths
=== Getting field data for: AK.KAI, 219 paths
=== Getting field data for: AK.KHIT, 437 paths
=== Getting field data for: AK.KIAG, 403 paths
=== Getting field data for: AK.KLU, 220 paths
=== Getting field data for: AK.KNK, 221 paths
=== Getting field data for: AK.KOTZ, 203 paths
=== Getting field data for: AK.KTH, 220 paths
=== Getting field data for: AK.KULT, 247 paths
=== Getting field data for: AK.LOGN, 392 paths
=== Getting field data for: AK.MCAR, 389 paths
=== Getting field data for: AK.MCK, 361 paths
=== Getting field data for: AK.MDM, 188 paths
=== Getting field data for: AK.MESA, 400 paths
=== Getting field data for: AK.MLY, 192 paths
=== Getting field data for: AK.NEA, 0 paths
=== Getting field data for: AK.NEA2, 181 paths
=== Getting field data for: AK.NICH, 406 paths
=== Getting field data for: AK.NIKH, 148 paths
=== Getting field data for: AK.NOTK, 11 paths
=== Getting field data for: AK.PAX, 163 paths
=== Getting field data for: AK.PIN, 158 paths
=== Getting field data for: AK.PNL, 158 paths
=== Getting field data for: AK.PPD, 160 paths
=== Getting field data for: AK.PPLA, 158 paths
=== Getting field data for: AK.PTPK, 383 paths
=== Getting field data for: AK.PWL, 155 paths
=== Getting field data for: AK.RAG, 141 paths
=== Getting field data for: AK.RC01, 140 paths
=== Getting field data for: AK.RDOG, 145 paths
=== Getting field data for: AK.RIDG, 146 paths
=== Getting field data for: AK.RKAV, 375 paths
=== Getting field data for: AK.RND, 358 paths
=== Getting field data for: AK.SAMH, 370 paths
=== Getting field data for: AK.SAW, 138 paths
=== Getting field data for: AK.SCM, 139 paths
=== Getting field data for: AK.SCRK, 143 paths
=== Getting field data for: AK.SGA, 135 paths
=== Getting field data for: AK.SII, 131 paths
=== Getting field data for: AK.SKN, 141 paths
=== Getting field data for: AK.SLK, 142 paths
=== Getting field data for: AK.SPIA, 142 paths
=== Getting field data for: AK.SSN, 138 paths
=== Getting field data for: AK.SSP, 137 paths
=== Getting field data for: AK.SUCK, 380 paths
=== Getting field data for: AK.SWD, 140 paths
=== Getting field data for: AK.TABL, 375 paths
=== Getting field data for: AK.TGL, 135 paths
=== Getting field data for: AK.TNA, 137 paths
=== Getting field data for: AK.TRF, 135 paths
=== Getting field data for: AK.UNV, 119 paths
=== Getting field data for: AK.VRDI, 374 paths
=== Getting field data for: AK.WAT1, 129 paths
=== Getting field data for: AK.WAT2, 125 paths
=== Getting field data for: AK.WAT3, 129 paths
=== Getting field data for: AK.WAT4, 130 paths
=== Getting field data for: AK.WAT5, 128 paths
=== Getting field data for: AK.WAT6, 136 paths
=== Getting field data for: AK.WAT7, 131 paths
=== Getting field data for: AK.WAX, 130 paths
=== Getting field data for: AK.WRH, 134 paths
=== Getting field data for: AK.YAH, 132 paths
=== Getting field data for: AT.PMR, 15 paths
=== Getting field data for: AT.SIT, 6 paths
=== Getting field data for: CN.BBB, 107 paths
=== Getting field data for: CN.INK, 105 paths
=== Getting field data for: DW.COL, 0 paths
=== Getting field data for: II.KDAK, 232 paths
=== Getting field data for: IU.COL, 0 paths
=== Getting field data for: IU.COLA, 350 paths
=== Getting field data for: TA.A19K, 230 paths
=== Getting field data for: TA.A21K, 238 paths
=== Getting field data for: TA.A22K, 221 paths
=== Getting field data for: TA.A36M, 216 paths
=== Getting field data for: TA.B18K, 244 paths
=== Getting field data for: TA.B20K, 239 paths
=== Getting field data for: TA.B21K, 233 paths
=== Getting field data for: TA.B22K, 231 paths
=== Getting field data for: TA.C16K, 240 paths
=== Getting field data for: TA.C17K, 255 paths
=== Getting field data for: TA.C18K, 255 paths
=== Getting field data for: TA.C19K, 244 paths
=== Getting field data for: TA.C21K, 255 paths
=== Getting field data for: TA.C23K, 258 paths
=== Getting field data for: TA.C24K, 255 paths
=== Getting field data for: TA.C26K, 262 paths
=== Getting field data for: TA.C27K, 268 paths
=== Getting field data for: TA.C36M, 269 paths
=== Getting field data for: TA.D17K, 260 paths
=== Getting field data for: TA.D19K, 273 paths
=== Getting field data for: TA.D20K, 270 paths
=== Getting field data for: TA.D22K, 270 paths
=== Getting field data for: TA.D23K, 279 paths
=== Getting field data for: TA.D24K, 262 paths
=== Getting field data for: TA.D25K, 280 paths
=== Getting field data for: TA.D27M, 278 paths
=== Getting field data for: TA.D28M, 266 paths
=== Getting field data for: TA.E17K, 273 paths
=== Getting field data for: TA.E18K, 275 paths
=== Getting field data for: TA.E19K, 281 paths
=== Getting field data for: TA.E20K, 279 paths
=== Getting field data for: TA.E21K, 270 paths
=== Getting field data for: TA.E22K, 283 paths
=== Getting field data for: TA.E23K, 281 paths
=== Getting field data for: TA.E24K, 271 paths
=== Getting field data for: TA.E25K, 282 paths
=== Getting field data for: TA.E27K, 287 paths
=== Getting field data for: TA.E28M, 278 paths
=== Getting field data for: TA.E29M, 277 paths
=== Getting field data for: TA.EPYK, 294 paths
=== Getting field data for: TA.F14K, 282 paths
=== Getting field data for: TA.F15K, 283 paths
=== Getting field data for: TA.F17K, 283 paths
=== Getting field data for: TA.F18K, 268 paths
=== Getting field data for: TA.F19K, 275 paths
=== Getting field data for: TA.F20K, 280 paths
=== Getting field data for: TA.F21K, 282 paths
=== Getting field data for: TA.F22K, 280 paths
=== Getting field data for: TA.F24K, 277 paths
=== Getting field data for: TA.F25K, 280 paths
=== Getting field data for: TA.F26K, 284 paths
=== Getting field data for: TA.F28M, 278 paths
=== Getting field data for: TA.F30M, 280 paths
=== Getting field data for: TA.F31M, 281 paths
=== Getting field data for: TA.G15K, 267 paths
=== Getting field data for: TA.G16K, 272 paths
=== Getting field data for: TA.G17K, 273 paths
=== Getting field data for: TA.G18K, 272 paths
=== Getting field data for: TA.G19K, 270 paths
=== Getting field data for: TA.G21K, 277 paths
=== Getting field data for: TA.G22K, 273 paths
=== Getting field data for: TA.G23K, 268 paths
=== Getting field data for: TA.G24K, 268 paths
=== Getting field data for: TA.G25K, 272 paths
=== Getting field data for: TA.G26K, 275 paths
=== Getting field data for: TA.G27K, 278 paths
=== Getting field data for: TA.G29M, 268 paths
=== Getting field data for: TA.G30M, 275 paths
=== Getting field data for: TA.G31M, 272 paths
=== Getting field data for: TA.H16K, 274 paths
=== Getting field data for: TA.H17K, 280 paths
=== Getting field data for: TA.H18K, 280 paths
=== Getting field data for: TA.H19K, 277 paths
=== Getting field data for: TA.H20K, 278 paths
=== Getting field data for: TA.H21K, 280 paths
=== Getting field data for: TA.H22K, 281 paths
=== Getting field data for: TA.H23K, 278 paths
=== Getting field data for: TA.H24K, 281 paths
=== Getting field data for: TA.H25K, 187 paths
=== Getting field data for: TA.H25L, 267 paths
=== Getting field data for: TA.H27K, 282 paths
=== Getting field data for: TA.H29M, 276 paths
=== Getting field data for: TA.H31M, 273 paths
=== Getting field data for: TA.HARP, 282 paths
=== Getting field data for: TA.HDA, 337 paths
=== Getting field data for: TA.I17K, 282 paths
=== Getting field data for: TA.I20K, 279 paths
=== Getting field data for: TA.I21K, 284 paths
=== Getting field data for: TA.I23K, 284 paths
=== Getting field data for: TA.I26K, 286 paths
=== Getting field data for: TA.I27K, 285 paths
=== Getting field data for: TA.I28M, 283 paths
=== Getting field data for: TA.I29M, 284 paths
=== Getting field data for: TA.I30M, 281 paths
=== Getting field data for: TA.J14K, 282 paths
=== Getting field data for: TA.J16K, 282 paths
=== Getting field data for: TA.J17K, 277 paths
=== Getting field data for: TA.J18K, 280 paths
=== Getting field data for: TA.J19K, 279 paths
=== Getting field data for: TA.J20K, 287 paths
=== Getting field data for: TA.J25K, 286 paths
=== Getting field data for: TA.J26K, 107 paths
=== Getting field data for: TA.J26L, 288 paths
=== Getting field data for: TA.J29M, 276 paths
=== Getting field data for: TA.J29N, 278 paths
=== Getting field data for: TA.J30M, 282 paths
=== Getting field data for: TA.K13K, 275 paths
=== Getting field data for: TA.K15K, 280 paths
=== Getting field data for: TA.K17K, 282 paths
=== Getting field data for: TA.K20K, 288 paths
=== Getting field data for: TA.K24K, 284 paths
=== Getting field data for: TA.K27K, 289 paths
=== Getting field data for: TA.K29M, 285 paths
=== Getting field data for: TA.L14K, 278 paths
=== Getting field data for: TA.L15K, 285 paths
=== Getting field data for: TA.L16K, 287 paths
=== Getting field data for: TA.L17K, 290 paths
=== Getting field data for: TA.L18K, 288 paths
=== Getting field data for: TA.L19K, 292 paths
=== Getting field data for: TA.L20K, 290 paths
=== Getting field data for: TA.L26K, 297 paths
=== Getting field data for: TA.L27K, 293 paths
=== Getting field data for: TA.L29M, 285 paths
=== Getting field data for: TA.M11K, 274 paths
=== Getting field data for: TA.M13K, 274 paths
=== Getting field data for: TA.M14K, 280 paths
=== Getting field data for: TA.M15K, 278 paths
=== Getting field data for: TA.M16K, 279 paths
=== Getting field data for: TA.M17K, 285 paths
=== Getting field data for: TA.M18K, 286 paths
=== Getting field data for: TA.M19K, 291 paths
=== Getting field data for: TA.M20K, 292 paths
=== Getting field data for: TA.M22K, 289 paths
=== Getting field data for: TA.M23K, 288 paths
=== Getting field data for: TA.M24K, 292 paths
=== Getting field data for: TA.M26K, 294 paths
=== Getting field data for: TA.M27K, 296 paths
=== Getting field data for: TA.M29M, 289 paths
=== Getting field data for: TA.M30M, 288 paths
=== Getting field data for: TA.M31M, 290 paths
=== Getting field data for: TA.N14K, 281 paths
=== Getting field data for: TA.N15K, 283 paths
=== Getting field data for: TA.N16K, 285 paths
=== Getting field data for: TA.N17K, 286 paths
=== Getting field data for: TA.N18K, 289 paths
=== Getting field data for: TA.N19K, 292 paths
=== Getting field data for: TA.N20K, 290 paths
=== Getting field data for: TA.N25K, 286 paths
=== Getting field data for: TA.N30M, 288 paths
=== Getting field data for: TA.N31M, 294 paths
=== Getting field data for: TA.N32M, 280 paths
=== Getting field data for: TA.O14K, 282 paths
=== Getting field data for: TA.O15K, 290 paths
=== Getting field data for: TA.O16K, 293 paths
=== Getting field data for: TA.O17K, 290 paths
=== Getting field data for: TA.O18K, 292 paths
=== Getting field data for: TA.O19K, 290 paths
=== Getting field data for: TA.O20K, 283 paths
=== Getting field data for: TA.O22K, 296 paths
=== Getting field data for: TA.O28M, 288 paths
=== Getting field data for: TA.O29M, 288 paths
=== Getting field data for: TA.O30N, 288 paths
=== Getting field data for: TA.P08K, 250 paths
=== Getting field data for: TA.P16K, 289 paths
=== Getting field data for: TA.P17K, 292 paths
=== Getting field data for: TA.P18K, 292 paths
=== Getting field data for: TA.P19K, 286 paths
=== Getting field data for: TA.P23K, 282 paths
=== Getting field data for: TA.P29M, 288 paths
=== Getting field data for: TA.P30M, 283 paths
=== Getting field data for: TA.P32M, 286 paths
=== Getting field data for: TA.P33M, 284 paths
=== Getting field data for: TA.POKR, 302 paths
=== Getting field data for: TA.Q16K, 291 paths
=== Getting field data for: TA.Q17K, 296 paths
=== Getting field data for: TA.Q18K, 295 paths
=== Getting field data for: TA.Q19K, 292 paths
=== Getting field data for: TA.Q20K, 293 paths
=== Getting field data for: TA.Q23K, 287 paths
=== Getting field data for: TA.Q32M, 293 paths
=== Getting field data for: TA.R16K, 297 paths
=== Getting field data for: TA.R17K, 290 paths
